model,leg_duration_s,rate_A_m2_s,loop_area_V_A_m2,ascending_crossing_A_m2,descending_crossing_A_m2
kv,0.2,0.9485558084811403,0.0032821471978154654,,
kv,1.0,0.18971116169622806,0.000679462603834486,,
kv,5.0,0.03794223233924561,0.0001363632744721218,,
bistable,0.2,0.9485558084811403,0.0033196905897759556,,
bistable,1.0,0.18971116169622806,0.024722589028773806,0.011218524507116134,-0.1742241360509468
bistable,5.0,0.03794223233924561,0.023851305724819187,0.008325429291248632,-0.17332300803288972
