id,graph,tau_s,gap,dose,pulse_s,peak_retained_percent,area_retained_percent,peak_delay_ms,centroid_delay_ms
case0048,independent32_seed11,0.0148,4.0,equal_charge,0.001,99.29720427940974,98.89437714456744,0.0,0.017975664139309455
case0049,independent32_seed11,0.0148,4.0,equal_current,0.001,99.2972370242613,98.8962817905396,0.0,0.025107857411733533
case0050,independent32_seed11,0.0148,4.0,equal_charge,0.01,98.72664885849115,98.89444394251305,0.0,0.017933221141934116
case0051,independent32_seed11,0.0148,4.0,equal_current,0.01,98.72642796140403,98.89335261317522,0.0,0.016865948678440948
case0052,independent32_seed11,0.0148,4.0,equal_charge,0.1,98.89358191074062,98.89461556337517,0.0,0.016676827586908916
case0053,independent32_seed11,0.0148,4.0,equal_current,0.1,98.8910758800957,98.89046913336907,0.0,0.015193716005723612
case0054,independent32_seed22,0.0148,4.0,equal_charge,0.001,99.99489848428341,99.77152121438561,0.0,-0.011883109690196889
case0055,independent32_seed22,0.0148,4.0,equal_current,0.001,99.99490707634479,99.77274234941487,0.0,-0.009728469361407893
case0056,independent32_seed22,0.0148,4.0,equal_charge,0.01,99.89504556870098,99.77180701113095,0.0,-0.011854267760912779
case0057,independent32_seed22,0.0148,4.0,equal_current,0.01,99.89488366065888,99.7710945558948,0.0,-0.012195893875252897
case0058,independent32_seed22,0.0148,4.0,equal_charge,0.1,99.77133872371317,99.77451951525055,0.0,-0.011803297872002572
case0059,independent32_seed22,0.0148,4.0,equal_current,0.1,99.76925430157398,99.77166249124772,0.0,-0.011944996723169121
case0060,independent32_seed33,0.0148,4.0,equal_charge,0.001,99.930732821425,100.02487439819483,0.0,0.010514291948773846
case0061,independent32_seed33,0.0148,4.0,equal_current,0.001,99.93075126992915,100.02727390277188,0.0,0.019757417052308074
case0062,independent32_seed33,0.0148,4.0,equal_charge,0.01,99.9451711435996,100.02513166608165,0.0,0.010513929413369372
case0063,independent32_seed33,0.0148,4.0,equal_current,0.01,99.94496419741486,100.02405908115466,0.0,0.00920836057054751
case0064,independent32_seed33,0.0148,4.0,equal_charge,0.1,100.02548089006459,100.02446499395808,0.0,0.009835356631279768
case0065,independent32_seed33,0.0148,4.0,equal_current,0.1,100.02183118188425,100.02019489622396,0.0,0.007348730910808343
case0066,cut,0.0148,4.0,equal_charge,0.001,1.1095407472529427e-05,0.00010230902783362458,210.0,553.7083408832439
case0067,cut,0.0148,4.0,equal_current,0.001,4.7582004662512414e-05,0.000496405506333795,294.0,553.2555370205272
case0068,cut,0.0148,4.0,equal_charge,0.01,1.3420783102275573e-05,0.00010402552223484704,246.0,550.3258763419482
case0069,cut,0.0148,4.0,equal_current,0.01,6.581591203030508e-06,5.1359924728444806e-05,231.99999999999997,552.6224278275588
case0070,cut,0.0148,4.0,equal_charge,0.1,0.00012763655719815029,0.00013752045102303259,242.00000000000003,531.0303273648216
case0071,cut,0.0148,4.0,equal_current,0.1,2.9359740299943655e-06,2.902199502485673e-06,268.0,544.3790574356634
case0072,original,0.0592,1.0,equal_charge,0.001,100.0,100.0,0.0,0.0
case0073,original,0.0592,1.0,equal_current,0.001,100.0,100.0,0.0,0.0
case0074,original,0.0592,1.0,equal_charge,0.01,100.0,100.0,0.0,0.0
case0075,original,0.0592,1.0,equal_current,0.01,100.0,100.0,0.0,0.0
case0076,original,0.0592,1.0,equal_charge,0.1,100.0,100.0,0.0,0.0
case0077,original,0.0592,1.0,equal_current,0.1,100.0,100.0,0.0,0.0
case0078,interface_10pct,0.0592,1.0,equal_charge,0.001,18.106529484143525,24.172007258439397,3.0,2.7489769249543077
case0079,interface_10pct,0.0592,1.0,equal_current,0.001,18.10978955047364,24.181984505169023,3.0,2.755270019986933
case0080,interface_10pct,0.0592,1.0,equal_charge,0.01,19.862964621719414,24.175272174401627,1.0000000000000009,2.748836129206058
case0081,interface_10pct,0.0592,1.0,equal_current,0.01,19.86173292130786,24.167406654462678,1.0000000000000009,2.743927146971293
case0082,interface_10pct,0.0592,1.0,equal_charge,0.1,24.182547240605636,24.059089994850034,3.0000000000000027,2.5057593964089713
case0083,interface_10pct,0.0592,1.0,equal_current,0.1,24.147188919452592,24.012464367063608,4.0000000000000036,2.4651191853399674
case0084,independent32_seed11,0.0592,1.0,equal_charge,0.001,99.75367545571298,99.01585743152509,0.0,-0.037336137565962754
case0085,independent32_seed11,0.0592,1.0,equal_current,0.001,99.75369694992492,99.01658701468365,0.0,-0.03714210287422519
case0086,independent32_seed11,0.0592,1.0,equal_charge,0.01,99.35529007250743,99.01625484930406,0.0,-0.03722763070305134
case0087,independent32_seed11,0.0592,1.0,equal_current,0.01,99.35518771889666,99.01575167206884,0.0,-0.03732454033762364
case0088,independent32_seed11,0.0592,1.0,equal_charge,0.1,99.01653750555421,99.02696776582611,0.0,-0.03386851318713108
case0089,independent32_seed11,0.0592,1.0,equal_current,0.1,99.01323480159952,99.02265368325754,0.0,-0.03491189993738708
case0090,independent32_seed22,0.0592,1.0,equal_charge,0.001,99.99900285284558,99.95618779418244,0.0,-0.005908282085180516
case0091,independent32_seed22,0.0592,1.0,equal_current,0.001,99.99900259602497,99.9561356982544,0.0,-0.005979380894621106
case0092,independent32_seed22,0.0592,1.0,equal_charge,0.01,99.99393895625418,99.95618620169633,0.0,-0.00589912751544977
