id,geometry,model,gd,factor,amplitude_A_m2,history,restore_s,pulse_s,end_s,blocks,controls,category,stationary,linearly_stable,max_real_eigen_s_inv,final_dV_max_V_s,final_gate_derivative_max_s_inv,threshold_V,rest_V,target_count,target_high,total_high,target_ever_high,total_ever_high,target_high_fraction,final_mean_V,target_final_mean_V,final_min_V,final_max_V,peak_V,target_peak_V,first_target_recruitment_s,final_max_departure_V,threshold_margin_final_V,junction_sum_sampled_max_A_m2,category_2s,target_high_2s,max_voltage_change_2_to_5s_V,nfev,gate_min,gate_max,solver,numerically_accepted,effective_source,numerical_correction
v0022,fonte_esquerda,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37357143386313,1.4419888894057209e-15,0.0,-0.03601657155330891,-0.0509712277624096,168,0,0,0,0,0.0,-0.050971227762409595,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,,0.0,0.014954656209100692,2.706168622523819e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0023,fonte_esquerda,kv,0.0,0.9,0.0741357421875,original,,0.02,5.0,[1],"[""no_additional_current""]",repouso,True,True,-68.31942104394174,5.4860629927766524e-15,2.1097988221339546e-15,-0.03601657155330891,-0.051497482804242954,168,0,0,0,0,0.0,-0.05149748280424293,-0.05149748280424293,-0.05149748280424296,-0.051497482804242926,-0.038575841405215264,-0.048311860689818104,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,repouso,0,0.0,75220,0.02657211332460729,0.05198047689238197,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0024,fonte_esquerda,kv,0.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,[1],"[""no_additional_current""]",transiente_sem_persistencia,True,True,-68.31942104394152,5.529431079676073e-15,1.6409546394375202e-15,-0.03601657155330891,-0.051497482804242954,168,0,0,0,1,0.0,-0.05149748280424293,-0.05149748280424295,-0.05149748280424296,-0.051497482804242926,-0.034657548249127125,-0.050834952711634546,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,transiente_sem_persistencia,0,0.0,75171,0.026572008337410264,0.06417967369284638,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0025,fonte_esquerda,bistable,4.0,0.9,0.0741357421875,interface,,0.02,5.0,[1],"[""never_restore""]",memoria_localizada,True,True,-68.38762794379404,5.366800753803247e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,168,0,58,0,58,0.0,-0.035347627395801454,-0.05006069178393767,-0.050967491033260044,0.007547039199614847,0.02043514426725097,-0.04525128795322565,,0.058518266962024446,0.009495257085891953,2.4444443272626782e-15,memoria_localizada,0,4.336808689942018e-18,79984,0.027555593451845068,0.6432664434386658,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0028,fonte_direita,bistable,4.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[1],[],memoria_localizada,True,True,-58.08845931318871,4.672911363412524e-15,3.750753461571475e-15,-0.03601657155330891,-0.0509712277624096,170,0,1,0,1,0.0,-0.04991357026897283,-0.050487648422640564,-0.050969374066667794,-0.012380744542843743,-0.005344751440061685,-0.03785247909782088,,0.03859048321956586,0.0031089903355250373,2.706168622523819e-15,memoria_localizada,0,6.938893903907228e-18,75738,0.027555593451845068,0.31053273236752854,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0031,fonte_direita,bistable,4.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.9064153319703,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,170,170,226,170,226,1.0,0.007547151118314444,0.007547151118314444,0.007547151118314432,0.007547151118314455,0.020629582106588856,0.020629582106588856,0.027,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,170,2.6020852139652106e-18,83307,0.027555593451845068,0.6441897078468816,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0034,fonte_direita,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.9064153319705,2.7755575615628914e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,170,170,226,170,226,1.0,0.007547151118314444,0.007547151118314444,0.007547151118314432,0.007547151118314455,0.020652979239895904,0.020652979239895904,0.019,0.05851837888072406,0.04356372267162334,2.706168622523819e-15,recrutamento_coletivo,170,2.6020852139652106e-18,82683,0.027555593451845068,0.6440909180023743,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0035,fonte_direita,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37357143386313,1.4419888894057209e-15,0.0,-0.03601657155330891,-0.0509712277624096,170,0,0,0,0,0.0,-0.050971227762409595,-0.050971227762409595,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,-0.0509712277624096,,0.0,0.014954656209100692,2.706168622523819e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0036,fonte_direita,kv,0.0,0.9,0.0741357421875,original,,0.02,5.0,[1],"[""no_additional_current""]",repouso,True,True,-68.31942104394153,5.5077470362263625e-15,1.6409546394375202e-15,-0.03601657155330891,-0.051497482804242954,170,0,0,0,0,0.0,-0.05149748280424293,-0.05149748280424293,-0.05149748280424296,-0.051497482804242926,-0.038575591332337754,-0.048311810415248686,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,repouso,0,0.0,75220,0.02657212117455746,0.051980765494432875,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0037,fonte_direita,kv,0.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,[1],"[""no_additional_current""]",transiente_sem_persistencia,True,True,-68.31942104394174,5.529431079676073e-15,2.1097988221339546e-15,-0.03601657155330891,-0.051497482804242954,170,0,0,0,1,0.0,-0.05149748280424293,-0.05149748280424293,-0.05149748280424296,-0.051497482804242926,-0.03465722257496761,-0.05083494297278208,,2.7755575615628914e-17,0.015480911250934017,2.130240428499519e-15,transiente_sem_persistencia,0,0.0,75171,0.02657202774076207,0.06418022563686225,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
